ID,Year,University Name English,I,We,You,She/He,They,Affiliation,Achievement,Power,All-or-none,Insight,Causation,Tentative,Certitude,Leisure,Home,Work,Money,Past Focus,Present Focus,Future Focus,WB: Direction,WB: Prosociality,WB: Means,WB: Identity,WB: Motivation,WB: Coherence,WB: Significance,WB: Spiritual,WB: Social Connections,WB: Purpose,WB: Meaning,Mindfulness
1517,2015,Hankuk University of Foreign Studies,0.07,5.74,0,0.7,1.75,8.4,2.31,1.33,0.7,2.31,2.87,0.56,0.35,0.35,0.21,4.97,3.78,2.31,5.6,1.54,1.54,0.98,1.12,0.91,2.17,0.56,2.03,0,0.91,3.01,2.87,1.89
1527,2015,KAIST University,0,3.08,0.31,1.04,2.14,4.75,2.97,1.1,0.63,3.13,1.88,0.47,0.16,0.42,0.21,7.3,4.33,2.82,4.85,1.72,1.77,1.04,1.72,1.1,2.5,1.2,2.61,0.42,1.04,5.11,5.37,2.14
1531,2015,Kangwon National University,0,5.43,0.06,0,2.26,8.84,2.56,1.22,0.43,2.44,2.07,0.43,0.06,0.06,0,7.62,3.29,1.77,3.29,1.71,1.65,3.66,1.28,3.72,2.26,1.04,2.44,0.3,3.54,5.73,5.61,4.27
1532,2015,Konkuk University,0,2.39,0,0.43,1.88,4.34,1.95,1.81,0.51,2.6,3.98,1.09,0.07,0,0.14,3.26,3.04,3.47,1.59,2.32,0.94,0.29,0.72,0.65,1.3,0.87,1.66,0.14,0.07,1.88,1.81,1.45
1508,2015,Korea University,0,4.89,0.11,0.97,1.7,7.84,3.92,1.65,0.17,2.33,3.18,0.74,0.11,0.34,0.06,6.82,2.84,3.47,5.63,1.25,1.65,1.7,1.25,0.51,2.9,1.59,2.78,0.34,1.59,3.64,3.24,1.53
1525,2015,Kwangwoon University,0.28,4.33,0,1.28,1.35,4.82,3.4,0.85,0.92,2.7,3.55,0.64,0.35,0.21,0.21,4.18,4.04,3.12,4.96,1.42,0.99,0.71,0.64,0.57,1.28,0.71,1.63,0.5,0.57,1.35,1.42,1.42
1538,2015,Kyonggi University,0.3,3.9,0.12,4.37,1.24,8.56,2.6,0.59,0.65,2.72,2.54,0.41,0,0.12,0.24,4.31,3.72,3.54,4.31,1.42,2.6,1.42,1.71,1.71,3.13,0.77,3.01,0.41,1.53,4.13,3.96,2.6
1526,2015,Myongji University,0,3.5,0.06,0.52,4.36,6.37,4.59,1.61,0.23,2.47,4.08,0.8,0.11,0.23,0.34,7.69,2.76,5.63,2.58,1.09,1.95,0.69,0.75,1.09,2.47,0.92,2.35,0.23,0.69,3.04,1.78,1.78
1514,2015,Sangmyung University,0,3.91,0.07,1.99,0.79,4.7,3.58,1.79,0.4,2.78,3.58,0.4,0.2,1.32,0.4,6.29,3.64,4.57,3.84,1.66,0.79,0.73,0.66,0.66,1.06,0.26,1.19,0.26,0.66,1.32,1.39,1.92
1520,2015,Seoul National University,0,6.52,0.37,0,1.01,7.9,2.97,2.17,0.42,1.91,2.01,0.85,0.48,1.8,0,7,5.25,3.18,3.6,1.22,1.59,0.74,0.95,1.01,2.07,0.95,2.17,0.37,0.69,2.38,1.96,1.96
1523,2015,Seoul National University of Science and Technology,0.07,5.42,0.43,1.01,5.06,7.52,2.39,0.58,0.87,3.69,2.46,0.8,0.22,0.14,0.51,4.84,2.24,3.18,5.21,1.59,1.23,1.08,1.23,1.16,2.24,0.51,2.24,0.07,0.72,2.89,2.6,2.82
1535,2015,Seoul Womens University,0,2.98,0.25,1.3,1.18,4.71,2.54,1.55,0.25,2.05,1.98,0.99,0.25,0.37,0.31,5.95,2.05,1.74,4.09,1.61,1.3,0.68,0.81,0.99,1.74,0.74,1.74,0.25,0.81,2.67,2.48,1.3
1524,2015,Sogang University,0,4.71,0.29,0,2.71,8.21,2,2.14,0.86,3.36,2.79,0.79,0.07,6.64,0.07,3,1.64,2.43,6,2.93,1.21,0.71,0.64,0.93,2,1.43,1.43,0.79,1.43,2.5,1.64,1
1529,2015,Sungkyunkwan University,0,4.09,0.41,0.58,3.68,5.61,2.51,1.23,0.99,3.33,2.98,1.69,0.58,0.06,0.12,6.54,3.68,4.03,4.09,1.93,1.58,0.53,1.17,1.64,1.99,1.4,2.69,0.58,0.53,2.63,2.92,1.29
1518,2015,UNIST University,0,5.35,0,0.79,3.76,7.3,2.46,0.43,0.65,2.82,2.75,0.58,0.36,0,0.14,5.27,3.18,1.66,5.92,2.96,2.1,0.65,0.72,0.79,2.24,1.23,2.24,0.14,0.58,2.53,2.17,1.52
1505,2015,University of Seoul,0.15,3.06,0.05,1.79,1.89,3.88,3.42,1.43,0.05,2.2,2.76,0.41,0.15,1.33,0,7.3,6.23,4.34,3.93,1.07,0.82,0.26,0.51,0.61,0.97,0.26,1.07,0.15,0.26,1.02,0.97,1.12
1515,2015,Yonsei University,0,3.27,0.1,0.05,3.01,5.93,2.55,2.65,0.21,2.29,2.86,0.62,0.16,0.16,0,6.19,3.17,3.69,4.37,1.09,1.3,0.62,1.04,1.04,2.03,0.94,1.98,0.31,0.73,2.18,1.66,2.08
1626,2016,Ajou University,1.53,4.8,0.51,1.24,2.33,6.33,4.15,0.73,0.44,2.91,3.49,1.09,0.22,1.09,0.15,5.82,1.82,4.15,5.39,1.67,1.97,1.38,0.73,1.09,2.77,1.09,2.18,0.44,1.6,3.2,2.47,1.67
1629,2016,Chung Ang University,0,4.65,0.19,0,3.77,6.65,2.7,0.94,0.19,2.51,2.82,0.75,0.25,0.19,0.06,5.71,3.95,2.89,3.89,1.95,1.76,0.63,0.63,1,2.07,1.19,2.32,0.31,0.69,2.13,1.63,2.2
1633,2016,Chungnam National University,0.21,2.37,0.52,0.1,4.74,4.23,2.58,1.55,0.93,4.23,2.89,1.65,0.31,1.55,0,4.64,0.72,1.75,5.15,3.4,1.96,1.65,1.34,0.93,2.99,1.86,3.61,0.82,1.55,3.71,3.71,2.06
1624,2016,Dankook University,0.56,5.57,1.52,0.05,1.32,7.14,2.08,1.57,0.61,2.48,2.79,1.37,0.56,0.1,0.46,6.33,2.79,3.8,4.71,1.17,1.37,0.35,1.72,1.32,1.82,0.2,1.82,0.35,0.51,2.48,2.64,1.27
1627,2016,Ewha Womans University,0.11,3.9,0.22,0.99,4.01,5.11,1.76,1.59,1.04,1.65,2.75,1.32,0.16,1.1,0.05,1.76,1.76,4.23,3.74,0.82,0.71,1.48,0.55,0.44,1.65,0.88,1.65,0.33,1.48,2.47,2.42,1.48
1623,2016,Gachon University,0,3.75,0.14,0.07,2.64,4.73,2.43,0.76,0.49,1.39,1.39,0.63,0.28,1.88,0,6.12,1.95,3.54,4.24,0.28,0.69,0.35,0.9,0.76,1.11,0.35,1.25,0.28,0.35,1.39,1.6,1.32
1618,2016,Hankuk University of Foreign Studies,0,5.66,0.25,0.38,3.94,7.44,2.86,1.02,0.45,2.42,3.37,1.08,0.25,1.15,0.06,4.71,2.99,1.78,5.41,1.84,2.67,1.4,1.27,1.72,3.5,1.53,2.74,1.02,2.1,4.26,3.37,1.08
1632,2016,Hongik University,0.08,4.91,0.15,0.46,0.61,5.68,3.22,1.46,0.23,2.69,2.3,0.46,0.15,0.46,0.38,6.14,3.38,3.91,4.14,1.38,1.15,0.38,0.84,0.84,1.38,1.53,2.07,0.61,0.46,1.61,1.84,2.23
1622,2016,Kangwon National University,0,4.71,0,0,2.23,8.86,2.91,0.74,0.43,3.47,3.41,0.06,0.25,0.12,0.25,7.56,3.28,2.35,3.72,1.92,1.86,4.52,1.49,4.58,2.97,1.67,2.66,0.62,4.65,6.63,6.44,5.45
1619,2016,Konkuk University,0,2.82,0.06,0.18,2.65,3.88,1.82,2.06,0.18,2.35,3.65,0.53,0.18,0,0,7.06,2.12,2.06,4,1.94,0.65,0.82,0.76,0.82,1.82,1,1.76,0.24,0.71,2.12,1.71,1.76
1606,2016,Korea University,0,4.63,0.07,0,1.96,5.74,2.54,3.65,0.46,3,2.02,0.13,0.13,2.35,0,5.74,2.15,3.59,4.17,0.65,1.04,1.17,0.78,0.78,1.76,1.3,1.83,0.39,0.85,2.15,2.09,1.37
1628,2016,Myongji University,0.19,2.33,0.13,1.55,1.23,4.53,3.17,1.23,0.65,3.82,2.26,0.84,0.06,1.36,0.91,6.53,6.73,3.62,2.72,1.29,0.45,0.58,0.45,0.39,1.29,0.45,1.16,0.26,0.39,1.68,1.23,1.62
1630,2016,Sangmyung University,0.08,3.5,0.24,0.08,3.01,4.8,3.74,1.22,0.33,3.58,2.52,1.22,0.16,0.98,0.16,5.61,2.28,2.03,6.18,1.14,2.77,1.06,1.95,1.87,3.09,0.81,3.01,0.57,1.14,3.82,3.5,2.36
1616,2016,Sejong University,0.07,4.31,0.07,0.07,2.62,5.59,2.62,1.08,0.54,2.89,2.56,1.14,0.13,0.13,0.07,7.4,2.76,3.03,4.98,1.14,1.68,0.94,0.94,0.87,2.29,1.01,2.49,0.27,0.94,2.89,2.83,1.28
1605,2016,Seoul National University,0,4.93,0.05,0,0.94,5.61,2.15,1.52,0.68,1.63,2.1,0.68,0.21,0.16,0,8.91,3.93,2.99,3.46,1.15,1.63,0.73,1.57,1.52,1.94,0.68,2.25,0.79,0.68,2.57,2.62,1.73
1615,2016,Seoul National University of Science and Technology,0.06,6.17,0.13,0.88,2.33,7.3,2.39,0.76,1.01,2.58,1.57,0.44,0.25,3.4,0,4.28,1.07,3.72,3.34,2.14,1.39,0.5,0.88,0.94,1.57,0.5,1.32,0.38,0.76,2.2,1.89,1.89
1625,2016,Sogang University,0.06,4.9,0,0.06,2.19,7.32,3,2.82,0.52,2.3,2.71,1.15,0.35,3.17,0.4,3.97,0.58,3.46,4.21,0.86,1.15,0.75,0.52,0.58,1.67,0.92,1.61,0.29,0.75,2.07,1.67,1.44
1620,2016,Sungkyunkwan University,0,5.81,0.21,2.13,0.85,6.45,4.82,1.56,0.43,1.77,3.47,0.71,0.07,0.14,1.06,5.32,3.33,3.97,4.54,0.99,1.49,0.43,0.85,0.92,1.7,0.92,1.49,0.57,0.64,2.13,1.35,1.35
1631,2016,UNIST University,0,4.96,0.06,0.58,0.99,6.83,2.69,1.46,0.23,3.68,3.62,0.76,0.41,0.12,0,4.38,3.74,2.92,5.02,2.16,1.05,0.06,1.05,0.64,1.17,0.76,1.75,0.06,0.06,1.46,1.81,1.87
1621,2016,University of Seoul,0.06,4.94,0.18,1.94,2.35,6.53,3.47,1.18,0.18,2.71,4.59,0.71,0.18,0.06,0,7.88,4.65,4.82,3.59,0.59,1.18,0.35,1.59,1.18,1.35,0.35,1.41,0.24,0.24,1.82,2,1.71
1617,2016,Yonsei University,0,4.24,0.12,0.41,2.24,5.48,2.71,3.12,0.59,2.24,1.59,0.77,0.12,0.41,0.24,6.31,3.01,3.48,3.48,0.82,1.71,0.65,2.42,2.18,2.3,0.88,3.12,0.53,0.65,2.71,3.3,2.18
1707,2017,Chung Ang University,0,7.48,0.35,0.21,1.39,8.38,2.22,0.76,0.55,2.77,2.22,0.69,0.42,0.07,0.07,4.09,2.84,2.08,4.92,1.94,1.52,0.55,1.18,1.04,2.22,1.39,2.35,0.55,0.76,2.84,2.63,2.77
1716,2017,Dankook University,0,6.37,0.06,0,4.13,7.63,2.41,1.66,1.09,2.58,3.5,1.61,0.4,0.11,0.17,5.17,2.3,4.13,4.99,0.92,2.53,0.98,1.95,2.24,3.33,0.98,3.04,0.75,1.32,3.85,3.56,1.61
1730,2017,Gachon University,0.07,3.36,0.26,0.2,2.9,5.08,2.83,0.66,0.2,1.45,4.81,0.26,0.07,0.4,0,9.89,2.64,3.36,5.08,1.91,1.05,1.78,1.45,1.65,1.45,0.53,1.85,1.25,1.78,3.16,3.43,1.52
1712,2017,Hankuk University of Foreign Studies,0.55,3.45,0.62,0.74,3.76,4.81,3.88,0.92,0.37,2.09,1.05,0.68,0.31,0.31,0.12,5.48,1.85,5.11,4.68,2.16,3.51,1.48,1.36,2.4,4.56,2.34,3.45,1.29,2.65,4.99,3.27,1.6
1714,2017,Korea University,0,4.03,0.3,0,2.21,4.88,2.26,1.71,1.01,3.02,1.86,0.96,0.05,2.01,0.1,5.94,1.26,1.86,5.03,1.21,0.96,1.11,0.6,0.91,1.51,0.6,1.61,0.35,1.11,2.06,1.81,1.46
1704,2017,Myongji University,0,4.89,0.08,0,3.08,6.69,4.59,2.63,0.08,2.56,2.71,0.6,0.08,0.3,0,7.82,4.89,4.51,2.41,2.71,1.13,0.38,0.53,0.68,1.2,1.05,1.73,0.53,0.23,1.5,1.5,1.2
1702,2017,Seoul National University,0.05,5.67,0.36,0.47,2.81,6.82,2.76,1.87,0.68,2.5,2.71,1.56,0.52,0.26,0.05,6.14,3.02,2.81,4.42,1.51,1.93,0.88,1.46,1.66,2.5,0.78,2.6,0.47,0.83,2.86,2.39,1.72
1703,2017,Seoul National University of Science and Technology,1.31,4.79,0.76,0.22,2.01,6.21,2.89,0.65,0.6,2.61,1.31,1.36,0.05,0,0.16,5.61,1.42,3.16,3.86,1.85,1.14,0.87,0.33,0.65,1.47,0.65,1.52,0.38,0.76,2.4,1.69,2.29
1729,2017,Seoul Womens University,0.12,5.23,0.36,0.06,2.29,8.6,1.5,1.2,0.24,3.13,2.1,0.78,0.18,0,0.42,4.93,2.89,2.53,4.45,2.29,1.14,1.08,0.66,0.72,2.04,1.2,1.98,0.24,1.02,2.53,2.1,1.56
1731,2017,Sogang University,0,3.31,0,0.14,1.76,6.69,4.15,2.11,0.49,2.25,3.03,0.49,0.42,0.42,0,5.84,2.89,3.66,3.52,1.27,2.53,1.13,1.34,2.18,3.38,1.83,2.46,1.2,2.04,4.01,3.1,1.41
1708,2017,Sungkyunkwan University,0,7.39,0.17,0.64,3,8.55,2.83,1.16,0.58,2.31,2.77,0.64,0.17,0.17,0.06,5.83,2.37,5.08,3.29,1.5,1.27,1.04,0.81,0.81,1.85,1.27,1.96,0.52,0.98,2.31,2.02,1.62
1701,2017,University of Seoul,0.05,3.93,0.32,1.13,1.78,4.57,3.23,0.86,0.54,2.69,2.21,0.75,0.38,0.48,0.05,4.84,4.04,2.8,5.06,1.02,1.24,0.59,1.13,1.24,1.67,0.54,1.72,0.22,0.65,2.21,2.1,1.83
1715,2017,Yonsei University,0,4.66,0.23,0.06,1.26,5.46,2.82,2.3,0.98,1.95,2.24,0.92,0.34,2.41,0,6.32,2.99,4.2,3.68,1.03,0.92,0.75,0.69,0.8,1.44,0.8,1.55,0.69,0.8,1.84,1.55,1.61
